Date,Name,Year,Letterboxd URI,Rating
2022-01-26,The House,2022,https://boxd.it/yVza,3.5
2022-01-26,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2022-01-26,Dune,2021,https://boxd.it/fA7G,3.5
2022-01-26,Parasite,2019,https://boxd.it/hTha,4.5
2022-01-26,The French Dispatch,2021,https://boxd.it/jLP8,3.5
2022-01-26,The Social Network,2010,https://boxd.it/17ue,5
2022-01-26,The Matrix Resurrections,2021,https://boxd.it/n87k,2
2022-01-26,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2022-01-26,Avengers: Endgame,2019,https://boxd.it/9vE4,3
2022-01-26,Guardians of the Galaxy,2014,https://boxd.it/3VH2,3.5
2022-01-26,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2022-01-26,Doctor Strange,2016,https://boxd.it/8MH8,3
2022-01-26,Iron Man,2008,https://boxd.it/28dA,3.5
2022-01-26,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,2
2022-01-26,Captain America: The First Avenger,2011,https://boxd.it/28b0,2.5
2022-01-26,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,2
2022-01-26,Coraline,2009,https://boxd.it/1NhQ,4
2022-01-26,Spider-Man,2002,https://boxd.it/2a8i,4
2022-01-26,Fight Club,1999,https://boxd.it/2a9q,5
2022-01-26,Taxi Driver,1976,https://boxd.it/2b8y,5
2022-01-26,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-01-26,Forrest Gump,1994,https://boxd.it/728,4
2022-01-26,Arrival,2016,https://boxd.it/aNGk,3.5
2022-01-26,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2022-01-26,Pulp Fiction,1994,https://boxd.it/29Pq,5
2022-01-26,V for Vendetta,2005,https://boxd.it/29Ik,4
2022-01-26,Se7en,1995,https://boxd.it/29zs,5
2022-01-26,No Country for Old Men,2007,https://boxd.it/21ew,5
2022-01-26,Midsommar,2019,https://boxd.it/jhxe,3.5
2022-01-26,Phantom Thread,2017,https://boxd.it/e4uc,4
2022-01-26,Titanic,1997,https://boxd.it/2a2k,3.5
2022-01-26,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2022-01-26,Whiplash,2014,https://boxd.it/7bQA,5
2022-01-26,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,3.5
2022-01-26,Trainspotting,1996,https://boxd.it/29XY,5
2022-01-26,The Big Lebowski,1998,https://boxd.it/2b6C,5
2022-01-26,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2022-01-26,GoodFellas,1990,https://boxd.it/29FA,5
2022-01-26,Heat,1995,https://boxd.it/2bg8,5
2022-01-26,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2022-01-26,The Dark Knight,2008,https://boxd.it/2b0k,5
2022-01-26,The Matrix,1999,https://boxd.it/2a1m,4.5
2022-01-26,Akira,1988,https://boxd.it/2b1i,4
2022-01-26,Joker,2019,https://boxd.it/h4cS,3.5
2022-01-26,The Thing,1982,https://boxd.it/294O,5
2022-01-26,Hot Fuzz,2007,https://boxd.it/2416,5
2022-01-26,Superbad,2007,https://boxd.it/20hO,3.5
2022-01-26,Kick-Ass,2010,https://boxd.it/1zaQ,3.5
2022-01-26,Oldboy,2003,https://boxd.it/29R2,5
2022-01-26,American Psycho,2000,https://boxd.it/28Vs,4.5
2022-01-26,21 Jump Street,2012,https://boxd.it/J0,4
2022-01-26,The Usual Suspects,1995,https://boxd.it/29XE,4.5
2022-01-26,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2022-01-26,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2022-01-26,Spider-Man 2,2004,https://boxd.it/2a88,4.5
2022-01-26,Aliens,1986,https://boxd.it/29PA,5
2022-01-26,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2022-01-26,American History X,1998,https://boxd.it/2bdo,4
2022-01-26,Back to the Future,1985,https://boxd.it/2b8e,5
2022-01-26,Tenet,2020,https://boxd.it/leq4,3.5
2022-01-26,Starship Troopers,1997,https://boxd.it/2a7k,4
2022-01-26,Free Guy,2021,https://boxd.it/k8dm,0.5
2022-01-26,There Will Be Blood,2007,https://boxd.it/20Z2,5
2022-01-26,The Big Short,2015,https://boxd.it/ajZw,4.5
